DATE,RATE
4/13/2011,3
4/6/2011,3
3/30/2011,3
3/23/2011,3
3/16/2011,3
3/9/2011,3
3/2/2011,3
2/23/2011,3
2/16/2011,3
2/9/2011,3
2/2/2011,3
1/26/2011,3
1/19/2011,3
1/12/2011,3
1/5/2011,3
12/29/2010,3
12/22/2010,3
12/15/2010,3
12/8/2010,3
12/1/2010,3
11/24/2010,3
11/17/2010,3
11/10/2010,3
11/3/2010,3
10/27/2010,3
10/20/2010,3
10/13/2010,3
10/6/2010,3
9/29/2010,3
9/22/2010,3
9/15/2010,3
9/8/2010,2.75
9/1/2010,2.75
8/25/2010,2.75
8/18/2010,2.75
8/11/2010,2.75
8/4/2010,2.75
7/28/2010,2.75
7/21/2010,2.75
7/14/2010,2.5
7/7/2010,2.5
6/30/2010,2.5
6/23/2010,2.5
6/16/2010,2.5
6/9/2010,2.5
6/2/2010,2.5
5/26/2010,2.25
5/19/2010,2.25
5/12/2010,2.25
5/5/2010,2.25
4/28/2010,2.25
4/21/2010,2.25
4/14/2010,2.25
4/7/2010,2.25
3/31/2010,2.25
3/24/2010,2.25
3/17/2010,2.25
3/10/2010,2.25
3/3/2010,2.25
2/24/2010,2.25
2/17/2010,2.25
2/10/2010,2.25
2/3/2010,2.25
1/27/2010,2.25
1/20/2010,2.25
1/13/2010,2.25
1/6/2010,2.25
12/30/2009,2.25
12/23/2009,2.25
12/16/2009,2.25
12/9/2009,2.25
12/2/2009,2.25
11/25/2009,2.25
11/18/2009,2.25
11/11/2009,2.25
11/4/2009,2.25
10/28/2009,2.25
10/21/2009,2.25
10/14/2009,2.25
10/7/2009,2.25
9/30/2009,2.25
9/23/2009,2.25
9/16/2009,2.25
9/9/2009,2.25
9/2/2009,2.25
8/26/2009,2.25
8/19/2009,2.25
8/12/2009,2.25
8/5/2009,2.25
7/29/2009,2.25
7/22/2009,2.25
7/15/2009,2.25
7/8/2009,2.25
7/1/2009,2.25
6/24/2009,2.25
6/17/2009,2.25
6/10/2009,2.25
6/3/2009,2.25
5/27/2009,2.25
5/20/2009,2.25
5/13/2009,2.25
5/6/2009,2.25
4/29/2009,2.25
4/22/2009,2.25
4/15/2009,2.5
4/8/2009,2.5
4/1/2009,2.5
3/25/2009,2.5
3/18/2009,2.5
3/11/2009,2.5
3/4/2009,2.5
2/25/2009,3
2/18/2009,3
2/11/2009,3
2/4/2009,3
1/28/2009,3
1/21/2009,3
1/14/2009,3.5
1/7/2009,3.5
12/31/2008,3.5
12/24/2008,3.5
12/17/2008,3.5
12/10/2008,3.5
12/3/2008,4
11/26/2008,4
11/19/2008,4
11/12/2008,4
11/5/2008,4
10/29/2008,4
10/22/2008,4
10/15/2008,4.25
10/8/2008,4.75
10/1/2008,4.75
9/24/2008,4.75
9/17/2008,4.75
9/10/2008,4.75
9/3/2008,4.75
8/27/2008,4.75
8/20/2008,4.75
8/13/2008,4.75
8/6/2008,4.75
7/30/2008,4.75
7/23/2008,4.75
7/16/2008,4.75
7/9/2008,4.75
7/2/2008,4.75
6/25/2008,4.75
6/18/2008,4.75
6/11/2008,4.75
6/4/2008,4.75
5/28/2008,4.75
5/21/2008,4.75
5/14/2008,4.75
5/7/2008,4.75
4/30/2008,4.75
4/23/2008,4.75
4/16/2008,5.25
4/9/2008,5.25
4/2/2008,5.25
3/26/2008,5.25
3/19/2008,5.25
3/12/2008,5.25
3/5/2008,5.25
2/27/2008,5.75
2/20/2008,5.75
2/13/2008,5.75
2/6/2008,5.75
1/30/2008,5.75
1/23/2008,5.75
1/16/2008,6
1/9/2008,6
1/2/2008,6
12/26/2007,6
12/19/2007,6
12/12/2007,6
12/5/2007,6
11/28/2007,6.25
11/21/2007,6.25
11/14/2007,6.25
11/7/2007,6.25
10/31/2007,6.25
10/24/2007,6.25
10/17/2007,6.25
10/10/2007,6.25
10/3/2007,6.25
9/26/2007,6.25
9/19/2007,6.25
9/12/2007,6.25
9/5/2007,6.25
8/29/2007,6.25
8/22/2007,6.25
8/15/2007,6.25
8/8/2007,6.25
8/1/2007,6.25
7/25/2007,6.25
7/18/2007,6.25
7/11/2007,6.25
7/4/2007,6
6/27/2007,6
6/20/2007,6
6/13/2007,6
6/6/2007,6
5/30/2007,6
5/23/2007,6
5/16/2007,6
5/9/2007,6
5/2/2007,6
4/25/2007,6
4/18/2007,6
4/11/2007,6
4/4/2007,6
3/28/2007,6
3/21/2007,6
3/14/2007,6
3/7/2007,6
2/28/2007,6
2/21/2007,6
2/14/2007,6
2/7/2007,6
1/31/2007,6
1/24/2007,6
1/17/2007,6
1/10/2007,6
1/3/2007,6
12/27/2006,6
12/20/2006,6
12/13/2006,6
12/6/2006,6
11/29/2006,6
11/22/2006,6
11/15/2006,6
11/8/2006,6
11/1/2006,6
10/25/2006,6
10/18/2006,6
10/11/2006,6
10/4/2006,6
9/27/2006,6
9/20/2006,6
9/13/2006,6
9/6/2006,6
8/30/2006,6
8/23/2006,6
8/16/2006,6
8/9/2006,6
8/2/2006,6
7/26/2006,6
7/19/2006,6
7/12/2006,6
7/5/2006,6
6/28/2006,6
6/21/2006,6
6/14/2006,6
6/7/2006,6
5/31/2006,6
5/24/2006,5.75
5/17/2006,5.75
5/10/2006,5.75
5/3/2006,5.75
4/26/2006,5.75
4/19/2006,5.5
4/12/2006,5.5
4/5/2006,5.5
3/29/2006,5.5
3/22/2006,5.5
3/15/2006,5.5
3/8/2006,5.5
3/1/2006,5.25
2/22/2006,5.25
2/15/2006,5.25
2/8/2006,5.25
2/1/2006,5.25
1/25/2006,5.25
1/18/2006,5
1/11/2006,5
1/4/2006,5
12/28/2005,5
12/21/2005,5
12/14/2005,5
12/7/2005,5
11/30/2005,4.75
11/23/2005,4.75
11/16/2005,4.75
11/9/2005,4.75
11/2/2005,4.75
10/26/2005,4.75
10/19/2005,4.75
10/12/2005,4.5
10/5/2005,4.5
9/28/2005,4.5
9/21/2005,4.5
9/14/2005,4.5
9/7/2005,4.25
8/31/2005,4.25
8/24/2005,4.25
8/17/2005,4.25
8/10/2005,4.25
8/3/2005,4.25
7/27/2005,4.25
7/20/2005,4.25
7/13/2005,4.25
7/6/2005,4.25
6/29/2005,4.25
6/22/2005,4.25
6/15/2005,4.25
6/8/2005,4.25
6/1/2005,4.25
5/25/2005,4.25
5/18/2005,4.25
5/11/2005,4.25
5/4/2005,4.25
4/27/2005,4.25
4/20/2005,4.25
4/13/2005,4.25
4/6/2005,4.25
3/30/2005,4.25
3/23/2005,4.25
3/16/2005,4.25
3/9/2005,4.25
3/2/2005,4.25
2/23/2005,4.25
2/16/2005,4.25
2/9/2005,4.25
2/2/2005,4.25
1/26/2005,4.25
1/19/2005,4.25
1/12/2005,4.25
1/5/2005,4.25
12/29/2004,4.25
12/22/2004,4.25
12/15/2004,4.25
12/8/2004,4.25
12/1/2004,4.25
11/24/2004,4.25
11/17/2004,4.25
11/10/2004,4.25
11/3/2004,4.25
10/27/2004,4.25
10/20/2004,4.25
10/13/2004,4
10/6/2004,4
9/29/2004,4
9/22/2004,4
9/15/2004,4
9/8/2004,3.75
9/1/2004,3.75
8/25/2004,3.75
8/18/2004,3.75
8/11/2004,3.75
8/4/2004,3.75
7/28/2004,3.75
7/21/2004,3.75
7/14/2004,3.75
7/7/2004,3.75
6/30/2004,3.75
6/23/2004,3.75
6/16/2004,3.75
6/9/2004,3.75
6/2/2004,3.75
5/26/2004,3.75
5/19/2004,3.75
5/12/2004,3.75
5/5/2004,3.75
4/28/2004,3.75
4/21/2004,3.75
4/14/2004,3.75
4/7/2004,4
3/31/2004,4
3/24/2004,4
3/17/2004,4
3/10/2004,4
3/3/2004,4
2/25/2004,4.25
2/18/2004,4.25
2/11/2004,4.25
2/4/2004,4.25
1/28/2004,4.25
1/21/2004,4.25
1/14/2004,4.5
1/7/2004,4.5
